Label	Weight	Text
l_general	1	i like the third choice
l_general	1	repeat that
l_general	1	please read
l_general	1	i have not heard
l_general	1	choose for no. four
l_general	1	display previously
l_general	1	go back to the last one
l_general	1	any of it
l_general	1	select third
l_general	1	oh cancel
l_general	1	i don't want to choose any one
l_general	1	end
l_general	1	turn off
l_general	1	that's all
l_general	1	i am done
l_general	1	nothing never mind
l_general	1	go back to previous
l_general	1	read it outloud
l_general	1	no no cancel
l_general	1	opt for the lower choice
l_general	1	5
l_general	1	is there any person i can talk to
l_general	1	what
l_general	1	no cancel
l_general	1	read that
l_general	1	say again please
l_general	1	cancel cancel
l_general	1	contact the customer service
l_general	1	nope
l_general	1	vocalize what's on the page
l_general	1	just do it
l_general	1	displays more
l_general	1	could you start it over
l_general	1	exit stop
l_general	1	come on
l_general	1	show me the next
l_general	1	what's before that
l_general	1	give me a favor
l_general	1	do it
l_general	1	no. 3
l_general	1	come on baby
l_general	1	hey stop
l_general	1	no no no
l_general	1	opt for number 7
l_general	1	shut up be quiet
l_general	1	what was that again
l_general	1	i need to go to the next one
l_general	1	give me more
l_general	1	read the text to me
l_general	1	never mind
l_general	1	reopen a new page
l_general	1	reveal previously
l_general	1	confirm
l_general	1	please read this out loud
l_general	1	opt for the second choice
l_general	1	i don't need
l_general	1	sounds good
l_general	1	the last five
l_general	1	i like the top right one
l_general	1	end it
l_general	1	back to the last one
l_general	1	don't do that
l_general	1	exit exit
l_general	1	start over
l_general	1	go ahead
l_general	1	opt for the left one
l_general	1	go to the previous one
l_general	1	select no.5
l_general	1	hey read that for me
l_general	1	previous one please
l_general	1	please do nothing
l_general	1	quiet now
l_general	1	cancel that
l_general	1	please read this to me
l_general	1	never mind stop
l_general	1	i like upper right
l_general	1	select five
l_general	1	go forward
l_general	1	select any
l_general	1	no. 2
l_general	1	speak out
l_general	1	never mind cancel that
l_general	1	i want the second one
l_general	1	number two
l_general	1	silence
l_general	1	no wrong
l_general	1	that right
l_general	1	thank you very much
l_general	1	oh my god shut up
l_general	1	select fourth one
l_general	1	no shut up
l_general	1	detail aloud what that says
l_general	1	choose no. six
l_general	1	show the next 4 items
l_general	1	tell me more
l_general	1	read the page onscreen to me
l_general	1	1
l_general	1	cancel app
l_general	1	anyone is fine
l_general	1	opt for the right
l_general	1	go to the next one
l_general	1	nothing please
l_general	1	select a random one
l_general	1	go to the next three items
l_general	1	not even close
l_general	1	human service
l_general	1	i like left one
l_general	1	submit it
l_general	1	all set
l_general	1	no not that one
l_general	1	not at all
l_general	1	i want right one
l_general	1	next
l_general	1	i mean stop listening
l_general	1	how to do it
l_general	1	contact support
l_general	1	sign out
l_general	1	just cancel
l_general	1	don't do that anymore
l_general	1	would you please read that for me
l_general	1	sure is
l_general	1	signout
l_general	1	read it aloud
l_general	1	read this page out loud
l_general	1	what is the previous
l_general	1	select the last choice
l_general	1	display more
l_general	1	ok for now
l_general	1	yeah cool
l_general	1	no thank you
l_general	1	opt for left
l_general	1	can you help
l_general	1	show the previous one
l_general	1	go back on
l_general	1	none
l_general	1	read file aloud
l_general	1	four
l_general	1	move to the next one
l_general	1	opt for first one
l_general	1	choose the upper right one
l_general	1	read the words on this page
l_general	1	no. 1
l_general	1	can you read it
l_general	1	come on stop
l_general	1	read it
l_general	1	help
l_general	1	it's fine
l_general	1	i want to choose the last choice
l_general	1	could you say it again
l_general	1	logout
l_general	1	i want to choose bottom one
l_general	1	choose last one
l_general	1	show the next two options
l_general	1	i want to choose second one
l_general	1	all finished
l_general	1	cancel that one
l_general	1	i want the left
l_general	1	perfect
l_general	1	i don't understand
l_general	1	turn off stop
l_general	1	opt for a random one
l_general	1	go back please
l_general	1	none of them thank you
l_general	1	please return
l_general	1	sure yes
l_general	1	finish
l_general	1	back to last step
l_general	1	i like the upper right
l_general	1	back to last
l_general	1	i want to choose the right
